Symbol,Type,Quantity,Price,Value,Fees,Date
BTC,Buy,0.00056077,"89,162.28 SEK",50.00 SEK,0.00 SEK,"May 5, 2020, 10:10:57 PM"
BTC,Buy,0.00001082,"92,355.75 SEK",1.00 SEK,0.00 SEK,"Jun 1, 2020, 6:18:21 PM"
BTC,Sell,0.00001082,"86,557.95 SEK",0.93 SEK,0.00 SEK,"Jun 2, 2020, 9:10:31 PM"
BTC,Send,0.00056077,"137,211.36 SEK",76.94 SEK,0.00 SEK,"Nov 9, 2020, 3:50:00 AM"
BTC,Receive,0.00056077,"137,211.36 SEK",76.94 SEK,0.00 SEK,"Nov 9, 2020, 3:50:00 AM"
BTC,Buy,0.00069453,"156,852.71 SEK",108.94 SEK,0.00 SEK,"Nov 19, 2020, 1:57:22 PM"
BTC,Buy,0.00027963,"€35,761.54",€10.00,€0.24,"Mar 8, 2022, 2:08:54 PM"
ETH,Stake,0.18580349,"24,185.66 SEK","4,493.77 SEK",0.00 SEK,"Feb 2, 2024, 11:03:12 AM"
ETH,Buy,0.00431791,"€2,315.93",€10.00,€0.14,"Feb 9, 2024, 9:46:02 AM"
ETH,Staking reward,0.00002061,,,,"Jan 15, 2025, 12:23:31 AM"
ETH,Staking reward,0.00004274,,,,"Jan 16, 2025, 12:02:16 AM"
ETH,Staking reward,0.0000478,,,,"Jan 17, 2025, 12:43:29 AM"