ID;Type;Time;Symbol;Comment;Amount
530692719;Stocks/ETF purchase;12.04.2024 13:01:45;SPYL.DE;OPEN BUY 34/42.5658 @ 11.7480;-399.43
530692718;Stocks/ETF purchase;12.04.2024 13:01:45;SPYL.DE;OPEN BUY 8/42.5658 @ 11.7480;-93.98
530692712;Stocks/ETF purchase;12.04.2024 13:01:44;SPYL.DE;OPEN BUY 0.5658/42.5658 @ 11.7470;-6.65
530691593;Deposit;12.04.2024 13:00:22;;JP_MORGAN deposit, JP_MORGAN provider transaction id=TXN-C-4259483-259486, JP_MORGAN merchant reference id=TXN-C-4259483-259486, id=11083197;500
527253683;Free funds interests;05.04.2024 13:42:58;;Free-funds Interest 2024-03;0.1
525965629;Deposit;04.04.2024 09:30:02;;JP_MORGAN deposit, JP_MORGAN provider transaction id=TXN-C-4252349-60532, JP_MORGAN merchant reference id=TXN-C-4252349-60532, id=10944791;1000
524538242;Stocks/ETF purchase;02.04.2024 14:48:16;SPYL.DE;OPEN BUY 85 @ 11.7305;-997.09
524522819;Stocks/ETF purchase;02.04.2024 14:21:03;SPYL.DE;OPEN BUY 35 @ 11.7405;-410.92
524303821;Stocks/ETF sale;02.04.2024 11:42:37;ZAL.DE;CLOSE BUY 1 @ 26.280;26.28
524223272;Stocks/ETF purchase;02.04.2024 10:21:47;ZAL.DE;OPEN BUY 1 @ 26.400;-26.4
521693016;Deposit;27.03.2024 09:00:21;;JP_MORGAN deposit, JP_MORGAN provider transaction id=TXN-C-4245251-99568, JP_MORGAN merchant reference id=TXN-C-4245251-99568, id=10821051;1400
516595080;Stocks/ETF purchase;15.03.2024 15:54:27;SPYL.DE;OPEN BUY 26 @ 11.3400;-294.84
516573845;Stocks/ETF purchase;15.03.2024 15:37:59;SPYL.DE;OPEN BUY 26 @ 11.3500;-295.1
515435183;Deposit;14.03.2024 10:30:23;;JP_MORGAN deposit, JP_MORGAN provider transaction id=TXN-C-4233659-166217, JP_MORGAN merchant reference id=TXN-C-4233659-166217, id=10635042;300
514947144;Deposit;13.03.2024 13:00:20;;JP_MORGAN deposit, JP_MORGAN provider transaction id=TXN-C-4232520-290438, JP_MORGAN merchant reference id=TXN-C-4232520-290438, id=10619119;300
419846716;Ações/ETF compra;25.07.2023 20:56:07;GOOGL.US;OPEN BUY 1 @ 122.34;-111.25
419846716;Ações/ETF vende;25.07.2023 20:56:07;GOOGL.US;CLOSE BUY 1 @ 122.34;111.25
618605424;Withdrawal;18.09.2024 10:03:27;;Withdrawal from 50423728;-856.47
623424924;Withholding tax;26.09.2024 11:00:23;FB.US;FB.US USD WHT 15%;-0.33
623424923;Dividend;26.09.2024 11:00:23;FB.US;FB.US USD 0.5000/ SHR;2.23
547615089;Stocks/ETF purchase;14.05.2024 17:21:10;FLOA.UK;OPEN BUY 16/16.7399 @ 5.9140;-94.62
547615042;Stocks/ETF purchase;14.05.2024 17:21:09;CSPX.UK;OPEN BUY 0.1799 @ 550.30;-99
547615041;Stocks/ETF purchase;14.05.2024 17:21:09;FLOA.UK;OPEN BUY 0.7399/16.7399 @ 5.9140;-4.38
547614959;Transfer;14.05.2024 17:21:05;;Transfer from 50526908 to 50655635;200
279466787;Profit/Loss (FX/CFD);22.07.2022 01:35:43;GBPUSD;Profit of position #685669464;0.13
279465197;Profit/Loss (FX/CFD);22.07.2022 01:22:20;EURUSD;Profit of position #685669313;0.14
279464049;Profit/Loss (FX/CFD);22.07.2022 01:14:25;US30;Profit of position #685669781;-0.15
210658050;Swap;11.01.2022 16:16:01;GOLD;Swap of position #515856023;-0.
579262992;Withholding tax;12.07.2024 13:01:17;XRAY.US;XRAY.US USD WHT 30%;-0.77
579262991;Dividend;12.07.2024 13:01:17;XRAY.US;XRAY.US USD 0.1600/ SHR;2.56
579262976;Withholding tax;12.07.2024 13:01:17;XRAY.US;XRAY.US USD WHT 30%;-3.84
579262975;Dividend;12.07.2024 13:01:17;XRAY.US;XRAY.US USD 0.1600/ SHR;12.8
579262887;Withholding tax;12.07.2024 13:01:17;XRAY.US;XRAY.US USD WHT 30%;-1.44
579262886;Dividend;12.07.2024 13:01:17;XRAY.US;XRAY.US USD 0.1600/ SHR;4.8
547615089;Stocks/ETF purchase;14.05.2024 17:21:10;FLOA.UK;OPEN BUY 16/16.7399 @ 5.9140;-94.62
547615042;Stocks/ETF purchase;14.05.2024 17:21:09;CSPX.UK;OPEN BUY 0.1799 @ 550.30;-99
547615041;Stocks/ETF purchase;14.05.2024 17:21:09;FLOA.UK;OPEN BUY 0.7399/16.7399 @ 5.9140;-4.38
543857396;Free funds interests tax;07.05.2024 09:36:50;;Free-funds Interest Tax 2024-04;-2
543604525;Free funds interests;07.05.2024 03:16:39;;Free-funds Interest 2024-04;15.17
597124174;Free funds interests;09.08.2024 19:38:51;;Corr Free-funds Interest 2024-07;0.5